"X".	"Y".	"Species".	"Diam"
"430".	11.38.	28.51.	"PISY".	10.31
"431".	12.1.	24.51.	"PISY".	11.02
"432".	15.11.	31.74.	"PISY".	11.17
"433".	14.38.	24.19.	"PISY".	11.39
"434".	14.24.	28.48.	"PISY".	11.63
"435".	10.02.	24.93.	"PISY".	12.09
"436".	10.09.	29.65.	"PISY".	12.79
"437".	14.74.	29.69.	"PISY".	12.89
"438".	8.14.	27.09.	"PISY".	13.06
"439".	13.46.	27.18.	"PISY".	13.33
"440".	8.35.	29.49.	"PISY".	13.77
"441".	10.81.	29.69.	"PISY".	14.05
"442".	11.04.	28.48.	"PISY".	14.21
"443".	11.04.	31.18.	"PISY".	14.36
"444".	10.45.	31.85.	"PISY".	15.43
"445".	11.24.	25.48.	"PISY".	15.58
"446".	9.3.	28.51.	"PISY".	16.46
"447".	9.22.	30.95.	"PISY".	17.16
"448".	9.4.	32.97.	"PISY".	7.6
"449".	11.26.	39.01.	"PISY".	8.55
"450".	9.94.	32.67.	"PISY".	9.96
"451".	14.91.	34.46.	"PISY".	10.23
"452".	13.33.	39.41.	"PISY".	10.94
"453".	14.72.	34.69.	"PISY".	11.64
"454".	13.96.	35.39.	"PISY".	12.54
"455".	8.74.	34.81.	"PISY".	12.58
"456".	8.22.	37.33.	"PISY".	12.59
"457".	11.5.	36.74.	"PISY".	12.97
"458".	14.38.	39.11.	"PISY".	13.12
"459".	11.27.	37.95.	"PISY".	13.44
"460".	11.56.	35.85.	"PISY".	13.82
"461".	9.36.	32.08.	"PISY".	14.08
"462".	9.56.	32.78.	"PISY".	14.31
"463".	10.6.	35.64.	"PISY".	15.58
"464".	11.53.	36.75.	"PISY".	16.14
"465".	14.3.	32.27.	"PISY".	16.24
"466".	14.88.	46.5.	"PISY".	8.92
"467".	13.91.	44.82.	"PISY".	10.75
"468".	11.47.	44.57.	"PISY".	12.31
"469".	13.22.	42.86.	"PISY".	12.35
"470".	8.61.	47.21.	"PISY".	12.5
"471".	13.37.	43.53.	"PISY".	12.87
"472".	16.	40.11.	"PISY".	14.04
"473".	13.07.	45.1.	"PISY".	14.24
